,date,symbol,open,high,low,close
188,20240626 09:50:00 US/Central,SR3H5,95.41,95.415,95.405,95.405
189,20240626 10:00:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
190,20240626 10:10:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
191,20240626 10:20:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
192,20240626 10:30:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
193,20240626 10:40:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
194,20240626 10:50:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
195,20240626 11:00:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
196,20240626 11:10:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
197,20240626 11:20:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
198,20240626 11:30:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
199,20240626 11:40:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
200,20240626 11:50:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
201,20240626 12:00:00 US/Central,SR3H5,95.405,95.415,95.405,95.41
202,20240626 12:10:00 US/Central,SR3H5,95.41,95.415,95.41,95.41
203,20240626 12:20:00 US/Central,SR3H5,95.41,95.415,95.41,95.41
204,20240626 12:30:00 US/Central,SR3H5,95.41,95.415,95.405,95.405
205,20240626 12:40:00 US/Central,SR3H5,95.405,95.41,95.405,95.405
206,20240626 12:50:00 US/Central,SR3H5,95.405,95.415,95.405,95.405
207,20240626 13:00:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
208,20240626 13:10:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
209,20240626 13:20:00 US/Central,SR3H5,95.405,95.405,95.395,95.4
210,20240626 13:30:00 US/Central,SR3H5,95.4,95.405,95.395,95.405
211,20240626 13:40:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
212,20240626 13:50:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
213,20240626 14:00:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
214,20240626 14:10:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
215,20240626 14:20:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
216,20240626 14:30:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
217,20240626 14:40:00 US/Central,SR3H5,95.405,95.405,95.4,95.405
218,20240626 14:50:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
219,20240626 15:00:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
